id_year,id,plot_id,observer_id,x,y,year,Lapwing,log_Lapwing,log_Lapwing_lag,Crow,log_Crow,log_Crow_lag,Grasslands_Pastures,Arable_land,Tmin_winter,Precip_winter,dispersion
101605_2002,101605,3390,1242,301.5,554.5,2002,2.23214285714286,1.1731453405306773,NA,1.92307692307692,1.072636802264848,NA,11,2,-1.5,5.01,0.5706247935951041
101605_2003,101605,3390,1242,301.5,554.5,2003,2.97619047619048,1.3803241941333877,1.1731453405306773,1.92307692307692,1.072636802264848,1.072636802264848,17,2,-5.7,4.16,1.0017569124836547
101605_2004,101605,3390,1242,301.5,554.5,2004,4.46428571428571,1.6982334112172308,1.3803241941333877,1.92307692307692,1.072636802264848,1.072636802264848,10,6,-2.8,4.83,1.1664705730660145
101605_2005,101605,3390,1242,301.5,554.5,2005,2.97619047619048,1.3803241941333877,1.6982334112172308,0.961538461538462,0.6737290947028439,1.072636802264848,14,0,-1.9,4.78,1.1242172505694896
101605_2006,101605,3390,1242,301.5,554.5,2006,2.23214285714286,1.1731453405306773,1.3803241941333877,0.961538461538462,0.6737290947028439,0.6737290947028439,18,6,-4.7,4.78,0.3680094687586518
101605_2008,101605,3390,1242,301.5,554.5,2008,2.23214285714286,1.1731453405306773,0,7.69230769230769,2.1624384612508036,1.3570239788197789,21,0,0.2,4.77,0.6500194257108554
101605_2010,101605,3390,1242,301.5,554.5,2010,3.7202380952381,1.55185924223159,0,1.92307692307692,1.072636802264848,1.072636802264848,33,0,-5.2,4.53,0.635011780778214
101605_2011,101605,3390,1242,301.5,554.5,2011,2.23214285714286,1.1731453405306773,1.55185924223159,0.961538461538462,0.6737290947028439,1.072636802264848,33,0,-5.1,4.73,0.6457262409417455
101605_2012,101605,3390,1242,301.5,554.5,2012,4.46428571428571,1.6982334112172308,1.1731453405306773,1.92307692307692,1.072636802264848,0.6737290947028439,16,0,-2.4,5.12,0.8521917464418608
101605_2015,101605,3390,1242,301.5,554.5,2015,2.23214285714286,1.1731453405306773,0,0,0,0.6737290947028439,19,0,-0.9,4.74,0.37166479502217026
101605_2021,101605,3390,1242,301.5,554.5,2021,4.46428571428571,1.6982334112172308,0,0,0,0,17,0,-2.3,4.79,0.38324654328929886
132948_2021,132948,6874,8174,348.5,407.5,2021,5.20833333333333,1.825892475597513,0.5562086296138083,0,0,0,0,13,-2.4,4.32,0.9360892599636436
139028_2003,139028,7305,1265,357.5,457.5,2003,9.67261904761905,2.3676814942018742,0,0,0,0.6737290947028439,0,100,-6.1,4.09,0.2121243209970201
139028_2017,139028,7305,9086,357.5,457.5,2017,2.23214285714286,1.1731453405306773,0,0,0,1.072636802264848,0,100,-2.9,4.37,0.6479378947611807
139632_2002,139632,2597,7812,358.5,391.5,2002,2.23214285714286,1.1731453405306773,0,0,0,0,0,66,-2.3,4.58,0.3725802847550173
139632_2008,139632,2597,9903,358.5,391.5,2008,3.7202380952381,1.55185924223159,0.9115174531214981,0.961538461538462,0.6737290947028439,0,0,74,-0.5,4.51,0.3558491962573526
145053_2008,145053,9637,7452,366.5,452.5,2008,2.97619047619048,1.3803241941333877,0,0,0,0,0,42,-0.2,4.57,0.8421227496324877
145053_2014,145053,9637,532,366.5,452.5,2014,8.92857142857143,2.2954166035154335,1.1731453405306773,0,0,0,5,54,-0.6,4.13,0.7722957562502898
145053_2017,145053,9637,532,366.5,452.5,2017,4.46428571428571,1.6982334112172308,0.9115174531214981,0,0,0,9,55,-2.9,4.39,0.8091013194169037
145053_2018,145053,9637,9086,366.5,452.5,2018,2.97619047619048,1.3803241941333877,1.6982334112172308,0,0,0,5,47,-1.7,4.26,0.7263709885849998
145053_2020,145053,9637,532,366.5,452.5,2020,2.23214285714286,1.1731453405306773,0.9115174531214981,0,0,0,12,42,1.1,4.6,0.21275027505107993
145053_2022,145053,9637,532,366.5,452.5,2022,8.92857142857143,2.2954166035154335,0.9115174531214981,0,0,0,24,34,-0.9,4.82,0.8293469745634429
145053_2023,145053,9637,532,366.5,452.5,2023,2.23214285714286,1.1731453405306773,2.2954166035154335,0,0,0,28,34,NA,NA,0.36270586518922865
145741_2007,145741,3140,5685,367.5,470.5,2007,2.23214285714286,1.1731453405306773,0.9115174531214981,0,0,1.072636802264848,12,88,0.9,4.88,0.8667897634497531
145741_2008,145741,3140,5685,367.5,470.5,2008,2.97619047619048,1.3803241941333877,1.1731453405306773,0,0,0,12,88,-0.2,4.6,0.73558797398167
145741_2015,145741,3140,4486,367.5,470.5,2015,6.69642857142857,2.040756399368598,0,0,0,1.5781853689299967,29,71,-0.9,4.45,0.2110146246796521
145741_2017,145741,3140,4486,367.5,470.5,2017,2.23214285714286,1.1731453405306773,0.9115174531214981,0.961538461538462,0.6737290947028439,1.072636802264848,18,82,-2.9,4.41,0.20896407872853223
145741_2023,145741,3140,4486,367.5,470.5,2023,2.23214285714286,1.1731453405306773,0,3.84615384615385,1.5781853689299967,1.5781853689299967,6,94,NA,NA,0.21057721227697399
148936_2010,148936,9030,9413,372.5,315.5,2010,17.8571428571429,2.93689177353106,1.3803241941333877,0,0,0,0,100,-4.9,4.57,0.8639056182726496
148936_2011,148936,9030,9413,372.5,315.5,2011,5.95238095238095,1.9390841839849131,2.93689177353106,0,0,0,0,100,-5.3,4.36,0.8200461935543523
150005_2017,150005,3108,2762,373.5,714.5,2017,2.23214285714286,1.1731453405306773,0.5562086296138083,0,0,0,18,72,-2.8,4.86,0.9606683855814684
150981_2009,150981,5385,3990,375.5,350.5,2009,2.97619047619048,1.3803241941333877,NA,0,0,NA,1,81,-2.9,4.49,0.2164235315820679
151002_2023,151002,6837,8066,375.5,371.5,2023,2.23214285714286,1.1731453405306773,0.9115174531214981,0,0,0,0,79,NA,NA,0.20502961040600412
151002_2024,151002,6837,8066,375.5,371.5,2024,3.7202380952381,1.55185924223159,1.1731453405306773,0,0,0,0,74,NA,NA,0.2122865065534519
161169_2002,161169,6075,8483,390.5,488.5,2002,2.23214285714286,1.1731453405306773,0.5562086296138083,0,0,0,0,100,-2.2,4.75,0.36803491722410925
163033_2010,163033,3311,2265,393.5,342.5,2010,2.23214285714286,1.1731453405306773,NA,0,0,NA,17,35,-5,4.61,0.21096290122005446
163033_2016,163033,3311,2265,393.5,342.5,2016,2.23214285714286,1.1731453405306773,0,0,0,0,42,10,-0.2,4.65,0.20734082886122793
165103_2011,165103,8109,7883,396.5,402.5,2011,2.23214285714286,1.1731453405306773,0,0,0,0,58,3,-5.2,4.51,0.20769474002630145
165103_2012,165103,8109,7883,396.5,402.5,2012,2.97619047619048,1.3803241941333877,1.1731453405306773,0,0,0,30,36,-3.2,4.84,0.36372919296152023
165103_2015,165103,8109,966,396.5,402.5,2015,2.97619047619048,1.3803241941333877,0.5562086296138083,0,0,0.6737290947028439,53,26,-0.9,4.43,0.5654809632002801
167751_2007,167751,5298,9903,400.5,370.5,2007,2.23214285714286,1.1731453405306773,NA,0,0,NA,0,94,0.2,4.91,0.3706870517446502
168447_2015,168447,124,966,401.5,396.5,2015,2.23214285714286,1.1731453405306773,0.9115174531214981,0.961538461538462,0.6737290947028439,0,61,18,-0.9,4.49,0.2147735491166927
168610_2005,168610,1465,676,401.5,559.5,2005,5.20833333333333,1.825892475597513,NA,0,0,NA,0,100,-2.7,4.62,0.8766690258888186
176006_2023,176006,7041,6525,412.5,585.5,2023,2.23214285714286,1.1731453405306773,NA,0,0,NA,19,18,NA,NA,0.21005658777233968
177339_2003,177339,162,5592,414.5,578.5,2003,2.23214285714286,1.1731453405306773,0,0,0,0,31,33,-6.6,4.01,0.5677632389597046
177339_2011,177339,162,5592,414.5,578.5,2011,2.23214285714286,1.1731453405306773,0,0,0,0,31,33,-5.7,4.66,0.21309333754461623
179053_2009,179053,5718,436,417.5,282.5,2009,3.7202380952381,1.55185924223159,0.9115174531214981,0,0,0,0,100,-3.1,4.67,0.35171285584809586
179526_2016,179526,9703,9038,417.5,755.5,2016,2.97619047619048,1.3803241941333877,0,0,0,0,0,100,0.2,4.93,0.2103704111397671
181158_2000,181158,1946,1820,420.5,377.5,2000,2.23214285714286,1.1731453405306773,NA,0,0,NA,NA,NA,-2.2,4.6,0.21145459439349878
182504_2001,182504,1178,5666,422.5,383.5,2001,2.23214285714286,1.1731453405306773,NA,1.92307692307692,1.072636802264848,NA,0,100,-2.5,4.45,1.0128642923781062
182504_2002,182504,1178,5666,422.5,383.5,2002,4.46428571428571,1.6982334112172308,1.1731453405306773,3.84615384615385,1.5781853689299967,1.072636802264848,0,100,-2.9,4.66,0.470947346972837
185088_2006,185088,9358,5161,426.5,287.5,2006,2.97619047619048,1.3803241941333877,0,0.961538461538462,0.6737290947028439,0.6737290947028439,0,90,-6.2,5.01,0.21137390422785038
185088_2007,185088,9358,5161,426.5,287.5,2007,5.20833333333333,1.825892475597513,1.3803241941333877,0,0,0.6737290947028439,0,93,0.5,4.84,0.5471351218102803
185779_2012,185779,6186,7560,427.5,308.5,2012,2.23214285714286,1.1731453405306773,0.5562086296138083,0,0,0,8,28,-3.6,4.86,0.21016972438315315
187299_2002,187299,2263,5199,429.5,488.5,2002,5.20833333333333,1.825892475597513,NA,0,0,NA,0,100,-2.7,4.73,0.6239043024005545
187299_2005,187299,2263,8706,429.5,488.5,2005,2.97619047619048,1.3803241941333877,NA,0,0,NA,0,100,-2.7,4.47,1.453376854115748
194261_2019,194261,8362,6068,439.5,750.5,2019,2.23214285714286,1.1731453405306773,0.9115174531214981,0,0,0,70,2,0.3,4.97,0.8643571627975726
194462_2022,194462,8127,6438,440.5,281.5,2022,8.92857142857143,2.2954166035154335,0,2.88461538461539,1.3570239788197789,0,42,56,-1.1,4.7,0.21123297523383527
195133_2006,195133,799,6438,441.5,282.5,2006,4.46428571428571,1.6982334112172308,NA,0,0,NA,2,98,-6.4,5.04,0.8356629963319564
195133_2010,195133,799,6438,441.5,282.5,2010,5.95238095238095,1.9390841839849131,0,0,0,0,2,98,-5,4.74,0.7517549805764357
195133_2011,195133,799,6438,441.5,282.5,2011,2.97619047619048,1.3803241941333877,1.9390841839849131,0,0,0,2,98,-5.4,4.45,0.37018721362206386
195133_2013,195133,799,6438,441.5,282.5,2013,2.97619047619048,1.3803241941333877,0,0,0,0.6737290947028439,2,98,-3.9,4.66,0.2129596253744825
195133_2014,195133,799,6438,441.5,282.5,2014,2.23214285714286,1.1731453405306773,1.3803241941333877,1.92307692307692,1.072636802264848,0,2,98,-0.8,4.29,0.36319710912831726
195133_2023,195133,799,6438,441.5,282.5,2023,6.69642857142857,2.040756399368598,0.5562086296138083,0,0,0.6737290947028439,2,98,NA,NA,1.1468975657156202
195133_2024,195133,799,6438,441.5,282.5,2024,7.44047619047619,2.1330387276888136,2.040756399368598,0,0,0,2,98,NA,NA,0.2100960624900862
195415_2011,195415,6431,8109,441.5,564.5,2011,2.97619047619048,1.3803241941333877,0.5562086296138083,0,0,0,8,62,-6.1,4.64,0.363811545304457
195415_2012,195415,6431,8109,441.5,564.5,2012,8.18452380952381,2.217519872959902,1.3803241941333877,0,0,0,0,66,-3.7,4.87,0.848338945474765
195415_2013,195415,6431,8109,441.5,564.5,2013,11.1607142857143,2.498210615414364,2.217519872959902,0,0,0,8,62,-4.4,4.69,0.7916904483520556
195415_2014,195415,6431,8109,441.5,564.5,2014,3.7202380952381,1.55185924223159,2.498210615414364,0,0,0,13,50,-1.5,4.3,0.2136197332396653
195415_2015,195415,6431,8109,441.5,564.5,2015,6.69642857142857,2.040756399368598,1.55185924223159,0,0,0,5,58,-1.6,4.62,0.5330960745640153
195415_2016,195415,6431,8109,441.5,564.5,2016,4.46428571428571,1.6982334112172308,2.040756399368598,0,0,0,3,59,-0.9,4.54,0.7039923277549046
195415_2021,195415,6431,8109,441.5,564.5,2021,5.20833333333333,1.825892475597513,0,0,0,0,0,73,-3.6,4.69,1.1479905998474356
195622_2022,195622,9725,6164,441.5,771.5,2022,2.23214285714286,1.1731453405306773,0.9115174531214981,0,0,0,24,4,0.4,5.16,0.21031732429121294
196427_2006,196427,7537,6990,443.5,236.5,2006,2.23214285714286,1.1731453405306773,0.5562086296138083,0,0,0,0,94,-6.5,4.91,0.2100727915694983
196427_2017,196427,7537,6990,443.5,236.5,2017,4.46428571428571,1.6982334112172308,0,0,0,0,0,94,-4.3,4.13,0.6603558403294723
196427_2020,196427,7537,6990,443.5,236.5,2020,2.97619047619048,1.3803241941333877,0,0,0,0,6,94,0,4.53,0.21096728418586347
196803_2016,196803,6065,6976,443.5,612.5,2016,5.95238095238095,1.9390841839849131,NA,0,0,NA,0,100,-0.9,4.64,0.21451182851500122
196803_2017,196803,6065,6976,443.5,612.5,2017,4.46428571428571,1.6982334112172308,1.9390841839849131,0,0,0,0,100,-3.3,4.64,0.35118083738707007
196803_2022,196803,6065,6976,443.5,612.5,2022,5.20833333333333,1.825892475597513,NA,0,0,NA,0,100,-1.9,4.9,0.2850081176972462
196803_2023,196803,6065,6976,443.5,612.5,2023,4.46428571428571,1.6982334112172308,1.825892475597513,0,0,0,0,100,NA,NA,0.3404477712002363
198794_2023,198794,3030,8790,446.5,593.5,2023,6.69642857142857,2.040756399368598,NA,11.5384615384615,2.5288008433452225,NA,21,3,NA,NA,1.0049678994780713
199434_2013,199434,9736,8109,447.5,563.5,2013,2.23214285714286,1.1731453405306773,0.9115174531214981,0,0,0,6,61,-4.2,4.69,0.20573414518672756
199434_2015,199434,9736,8109,447.5,563.5,2015,2.23214285714286,1.1731453405306773,0,0,0,0,0,56,-1.4,4.62,0.21007855738671521
201143_2007,201143,1232,9926,450.5,262.5,2007,2.23214285714286,1.1731453405306773,0,0.961538461538462,0.6737290947028439,0.6737290947028439,0,0,0.3,4.79,0.21447895453126045
205813_2006,205813,9839,5191,457.5,242.5,2006,2.23214285714286,1.1731453405306773,0.5562086296138083,0,0,0,0,0,-6.7,5.04,0.8499699380583309
205813_2016,205813,9839,5191,457.5,242.5,2016,7.44047619047619,2.1330387276888136,0.5562086296138083,0,0,0,0,0,-1,4.91,0.8025662003566083
205813_2017,205813,9839,5191,457.5,242.5,2017,2.23214285714286,1.1731453405306773,2.1330387276888136,0,0,0,0,0,-4.4,4.26,0.2165226538749562
205813_2018,205813,9839,5191,457.5,242.5,2018,8.92857142857143,2.2954166035154335,1.1731453405306773,NA,NA,NA,0,0,-2.4,4.44,0.21059213161526327
